Treatment Month,HSC Trust,% treated within 62 days,,,,,,
Sep-15,South Eastern,61.4,,,,,,
Sep-15,Southern,95.2,,,,,,
Sep-15,Western,89.0,,,,,,
Oct-15,Belfast,46.6,,,,,,
Oct-15,Northern,69.9,,,,,,
Oct-15,South Eastern,56.7,,,,,,
Oct-15,Southern,76.5,,,,,,
Oct-15,Western,90.3,,,,,,
Nov-15,Belfast,63.4,,,,,,
Nov-15,Northern,75.2,,,,,,
Nov-15,South Eastern,54.3,,,,,,
Nov-15,Southern,87.3,,,,,,
Nov-15,Western,94.9,,,,,,
Dec-15,Belfast,55.1,,,,,,
Dec-15,Northern,75.7,,,,,,
Dec-15,South Eastern,71.0,,,,,,
Dec-15,Southern,91.2,,,,,,
Dec-15,Western,87.2,,,,,,
Jan-16,Belfast,52.8,,,,,,
Jan-16,Northern,61.5,,,,,,
Jan-16,South Eastern,59.2,,,,,,
Jan-16,Southern,85.9,,,,,,
Jan-16,Western,91.8,,,,,,
Feb-16,Belfast,55.7,,,,,,
Feb-16,Northern,80.5,,,,,,
Feb-16,South Eastern,53.9,,,,,,
Feb-16,Southern,89.6,,,,,,
Feb-16,Western,98.9,,,,,,
Mar-16,Belfast,59.2,,,,,,
Mar-16,Northern,68.2,,,,,,
Mar-16,South Eastern,59.5,,,,,,
Mar-16,Southern,90.4,,,,,,
Mar-16,Western,90.4,,,,,,
Apr-16,Belfast,57.0,,,,,,
Apr-16,Northern,70.5,,,,,,
Apr-16,South Eastern,45.3,,,,,,
Apr-16,Southern,90.6,,,,,,
Apr-16,Western,83.9,,,,,,
May-16,Belfast,63.9,,,,,,
May-16,Northern,64.6,,,,,,
May-16,South Eastern,54.5,,,,,,
May-16,Southern,83.5,,,,,,
May-16,Western,93.7,,,,,,
Jun-16,Belfast,59.7,,,,,,
Jun-16,Northern,77.3,,,,,,
Jun-16,South Eastern,57.6,,,,,,
Jun-16,Southern,83.4,,,,,,
Jun-16,Western,89.4,,,,,,
Jul-16,Belfast,58.5,,,,,,
Jul-16,Northern,71.7,,,,,,
Jul-16,South Eastern,71.0,,,,,,
Jul-16,Southern,80.6,,,,,,
Jul-16,Western,82.7,,,,,,
Aug-16,Belfast,59.0,,,,,,
Aug-16,Northern,72.2,,,,,,
