Month Seen,HSC Trust,% seen within 14 days,,,,
Feb-16,Southern,100.0,,,,
Feb-16,Western,100.0,,,,
Mar-16,Belfast,67.4,,,,
Mar-16,Northern,94.5,,,,
Mar-16,South Eastern,75.6,,,,
Mar-16,Southern,100.0,,,,
Mar-16,Western,100.0,,,,
Apr-16,Belfast,64.8,,,,
Apr-16,Northern,92.2,,,,
Apr-16,South Eastern,31.0,,,,
Apr-16,Southern,68.7,,,,
Apr-16,Western,100.0,,,,
May-16,Belfast,71.6,,,,
May-16,Northern,100.0,,,,
May-16,South Eastern,15.5,,,,
May-16,Southern,12.8,,,,
May-16,Western,100.0,,,,
Jun-16,Belfast,64.0,,,,
Jun-16,Northern,96.6,,,,
Jun-16,South Eastern,27.4,,,,
Jun-16,Southern,6.7,,,,
Jun-16,Western,100.0,,,,
Jul-16,Belfast,87.0,,,,
Jul-16,Northern,97.3,,,,
Jul-16,South Eastern,100.0,,,,
Jul-16,Southern,14.1,,,,
Jul-16,Western,100.0,,,,
Aug-16,Belfast,83.5,,,,
Aug-16,Northern,98.6,,,,
Aug-16,South Eastern,97.1,,,,
Aug-16,Southern,12.1,,,,
Aug-16,Western,100.0,,,,
Sep-16,Belfast,99.1,,,,
Sep-16,Northern,100.0,,,,
Sep-16,South Eastern,100.0,,,,
Sep-16,Southern,77.6,,,,
Sep-16,Western,100.0,,,,
Oct-16,Belfast,98.8,,,,
Oct-16,Northern,100.0,,,,
Oct-16,South Eastern,100.0,,,,
Oct-16,Southern,98.2,,,,
Oct-16,Western,100.0,,,,
Nov-16,Belfast,99.3,,,,
Nov-16,Northern,100.0,,,,
Nov-16,South Eastern,100.0,,,,
Nov-16,Southern,70.0,,,,
Nov-16,Western,100.0,,,,
Dec-16,Belfast,100.0,,,,
Dec-16,Northern,97.5,,,,
Dec-16,South Eastern,99.5,,,,
Dec-16,Southern,39.1,,,,
Dec-16,Western,100.0,,,,
Jan-17,Belfast,100.0,,,,
Jan-17,Northern,99.2,,,,
Jan-17,South Eastern,80.6,,,,
Jan-17,Southern,45.0,,,,
Jan-17,Western,100.0,,,,
